Record#,Sentence,Tagging,Female,Male,Unknown,Disregarded
1,Zidane is the world footballer of the year 11-12-2000 French midfield wizard Zinedine Zidane was named FIFA world footballer of the year here Monday as a row over who should be ''Player of the Century'' ended with Brazilian Pele and Argentina''s Diego Maradona both receiving awards.,m,0,1,0,0
2,"I''ll tell you this now, all the headlines are about legendary footballer this, playboy scallywag that.",u,0,0,1,0
3,"He''s played at Arsenal, he scored the winning goal in the 1993 Cup final, and now he''s back being a plumber, the same job he did before he was a footballer.",m,0,1,0,0
4,"DUBERRY IS LABELLED FOR LIFE I have not so far mentioned Michael Duberry the Leeds FC footballer who, to save himself, selfishly pointed the finger in court at his once best friend Jonathon Woodgate, the player that went out of his way to welcome Duberry to Leeds FC when Chelsea decide to get rid of him.",m,0,1,0,0
5,For me personally World Cup finals are the biggest stage that any footballer can appear on.,u,0,0,1,0
6,"Lee Bowyer is poised to move to Liverpool, there is a widespread assumption that Olivier Dacourt will join Juventus and a meeting scheduled for today with Rio Ferdinand, the centre back who could reasonably be designated the most exciting young footballer in the country, threatens to result in a transfer request meant to facilitate relocation at Manchester United.",m,0,1,0,0
7,"This did not, however, deter him from pursuing his talents as a footballer.",m,0,1,0,0
8,"More gay controversy for Moyles - Oct 2, 2006 Premiership footballer Rio Ferdinand turned the airwaves blue today after calling Chris Moyles a ""faggot"" live on air.",m,0,1,0,0
9,"Footballer Alan Shearer will run a ""set your goals"" session in a Young Enterprise Masterclass for 400 students at Newcastle FC on 15 November.",m,0,1,0,0
10,"Sir Bobby Charlton Price range from £ 4000 - 7000 To book Bobby, please call us on 020 7247 1193 or e-mail to: info@cityspeakersinternational.co.uk Background Sir Bobby Charlton may be fairly said to be the most famous English footballer in the world.",m,0,1,0,0
11,He is the son of the former footballer Nery Castillo Sr. At 15 he failed to obtain a work permit to join Man Utd.,m,0,1,0,0
12,I just wanted to be a professional footballer from a young age and after getting in to the system it just couldn''t come quick enough for me.,u,0,0,1,0
13,"Well if it''s the wedding you are worried about, and there are these interesting marks down your arm, what better way of deflecting the conversation away from ""doesn''t she look beautiful, you must be proud"", or ""not salmon again"" as the buffet looms, than by having ultra cool fire coral scars up your arm and you can then bang on about Bora Bora and which footballer or film star you roomed next to!",u,0,0,1,0
14,"I was a fairly average footballer beforehand, but everything just slotted into place.",u,0,0,1,0
15,"FSF Badge - Wales Our groovy Welsh badges show the familiar FSF footballer getting slide-tackled by a certain red dragon, so you can be both patriotic and trendy at...",u,0,0,1,0
16,"They are often separated from family and friends and feel lonely and apprehensive about going out into their local communities. refugee footballer This project brings together people from all walks of life to take part in team sports, arts-based activities and social events.",u,0,0,1,0
17,Source - BBC Sport England duo in frame for award Five English players are on the short-list for the 2001 European Footballer of the Year award.,u,0,0,1,0
18,"Sam Wallace: Carragher is suddenly Sven''s midfield saviour Published: 30 May 2006 It is because Jamie Carragher is such a modest, likeable professional footballer - and tired of being described as a utility man - that the last time he was asked about the holding midfield role, he left no room for debate.",m,0,1,0,0
19,"Story continues ADVERTISEMENT ""He is a very good target man and a footballer who can play in a number of positions.",m,0,1,0,0
20,"Simon Walton is well fit and really down to earth, I met him and he gave me a hug n a kiss ( totally made my day!) Plus he is an amazing footballer!! beth says: hi i met simon walton yesturday hes a really nice guy i got a pic wiv him and hes really gud looking!! we luv ya walton lv bethx walton_lover says: simon walton is the fittest footballer ever!! i met him after the leeds v swindon game last night sooo nice and a ace footballer lv beth aim says: Simon Walton is mint! and hes my cousin so i should no! lol e-mail me if u wanna no owt! **~Abz~** says: Simon Walton is gorgeous",m,0,1,0,0
21,"The footballer may agree reluctantly to team tactics rather than be dropped from the team, the student delivers the work assignment only three days late to avoid the threatened penalty of reduced marks, the workers increase output in exchange for a higher rate of pay and the gangster pays up as ordered by the godfather when the safety of his wife and child are threatened.",u,0,0,1,0
22,"HALLE -3- the shirt came out, but there wasn''t a footballer in it.",u,0,0,1,0
23,"Ramsey, who had always been a thoughtful and deliberate footballer, got Ipswich back into the Second Division in 1957 and then spent the next 3 years assembling a close knit squad of players loyal to him.",m,0,1,0,0
24,"It had been neglected for years, explains Seddon, a former Kidderminster Harriers footballer, FA coach and PE teacher.",u,0,0,1,0
25,God''s footballer hears the voices of angels Above the choir at Molineux God''s footballer stands on the doorstep And brings the Good News of the Kingdom to come While the crowd sings ''Rock of Ages'' The goals bring weekly wages Yet the glory of the sports pages Is but the worship of false idols and tempts him not God''s footballer turns on a sixpence And brings the Great crowd to their feet in praise of him God''s footballer quotes from the Gospels While knocking on doors in Black Country back streets He scores goals on a Saturday And saves souls on,m,0,1,0,0
26,"Obviously I''d have loved to have been a footballer, and I look at all the pictures of me people are digging up in the papers at the moment, when I was really fit and in better shape than I am these days.",u,0,0,1,0
27,"""He is a superb footballer and is incredibly effective.",m,0,1,0,0
